90793-AH804,22056,87240,36552,1368,3937,35208,45168,16344,34298,60192,39024,28928,7129,15384,43272,10488,23064,26208,21648,20376,21912,25728,25344,32736,24624,24960,18384,18336,15216,192,24,0,288
90793-AS419,8762,12239,26330,11763,7322,5905,5836,11379,16826,15735,34451,3383,17142,16850,10587,11137,17785,28728,12912,11760,18192,19848,18888,17856,18024,36936,9888,10032,19056,10968,26520,25464,33432
93900-00817,11150,6200,5799,4050,5000,1080,17000,7870,3000,31150,13100,7014,26420,4472,5201,10300,12780,13600,9510,10000,19020,10070,54501,38505,9520,9271,3651,8000,14200,3201,27731,13600,88557
90793-AH406,5041,7119,5605,6649,7332,7885,10609,7620,8364,6852,24240,5234,1140,8629,7910,6252,9204,19980,10512,6600,10908,10596,9036,11412,17652,4572,8064,5568,18060,7740,14268,13200,20712
90793-AH814,481,7224,8137,4694,7081,21865,2782,5963,16058,5090,8090,1302,362,7323,4320,5592,9624,13643,3960,5481,6874,14256,19800,11100,5688,9394,4032,5376,23078,6144,8712,6000,10704
90115-06015,,,,,,,,,,,,20000,,,30000,,,,26280,,16000,,,16120,,,0,0,0,0,0,13600,0
90793-AH815,,,,,,,,,,,,,,,,,,,,,3168,40992,8496,12768,4272,5904,5376,5664,2448,4320,2064,6432,2448
2PV-E6321-00,603,75,300,60,20,1200,600,50,1020,3630,1000,2083,3239,7200,4270,2444,1233,19252,38250,,6018,,38,20,,6,649,4100,1553,5,3083,654,2636
1S7-E6321-00,21456,,1600,1000,,600,,9300,2590,6470,8427,12238,2200,2223,2265,1840,1805,12600,37008,,6029,,630,,17,9,0,50,100,1630,1600,3440,5510
90793-AH422,,,,,15792,3024,2232,2112,5763,4165,9123,1913,8055,7120,2496,3660,4908,8184,4368,3168,3612,7092,5304,3324,3693,6900,6300,2964,0,0,180,0,60
90793-AS418,624,1347,3769,1071,1752,1561,2116,2736,3577,2790,6024,460,1105,3480,2738,2832,3936,7368,3360,2808,3888,2880,3912,4632,4320,11256,3624,2256,3864,2760,4800,3792,5304
1PA-E2119-00,300,70,50,160140,50,58,103,154,54,110,74,264,90,10100,3723,20060,100,10120,10028,100,,,3054,108,,40,10050,200,80,160,5104,32194,13330
5XK-F6280-00,1230,3805,3002,2025,1010,5110,1121,4140,9151,9640,1060,4121,2210,6005,3130,3100,4096,4055,3140,2010,2000,5015,5025,2000,5020,4033,1566,1015,3000,3000,3120,2020,3060
5XK-F6290-00,1230,3805,3002,2025,1010,5110,1121,4140,9151,9640,1060,4121,2110,6005,3130,3100,4096,4055,3140,2010,2000,5015,5025,2000,5020,4033,1566,1015,3000,3000,3120,2020,3060
B17-F5364-00,5132,60,40,270,25,-20,178,,5000,10,10012,20,5024,5450,10020,20,,,10050,,40,,8,12,20058,100,0,40,96,5080,200,200,5000
1WD-E3440-10,13836,2010,1275,318,1260,1519,1266,1941,2212,3523,1576,611,2370,7280,1116,10655,3422,5405,970,460,300,3770,360,1605,8700,1292,5159,2374,6629,6830,1895,12267,5669
1S7-H1410-01,122,1038,22,5,6474,118,10,5653,3980,1777,,9195,1519,1117,6008,3000,3013,4000,4536,10,2415,1329,5419,1600,2504,2930,4471,1910,2125,1035,2250,1000,2503
